Year,Model,Predicted,Actual,RMSE
2017,"ARIMA(1,1,1)",907.234029832707,907,0.23402983270705136
2017,Exponential Smoothing,900.8948105807735,907,6.105189419226463
2017,Prophet,908.3789310928694,907,1.3789310928693794
2018,Naïve Forecast,907.0,900,7.0
2018,Linear Regression,931.7450980392168,900,31.745098039216828
2018,"ARIMA(1,1,1)",902.2823054201475,900,2.282305420147509
2018,Exponential Smoothing,931.7127951790222,900,31.712795179022237
2018,Prophet,931.6097856674029,900,31.60978566740289
2019,Naïve Forecast,900.0,891,9.0
2019,Linear Regression,948.7894736842136,891,57.78947368421359
2019,"ARIMA(1,1,1)",917.7935190960985,891,26.79351909609852
2019,Exponential Smoothing,938.7749808175864,891,47.774980817586425
2019,Prophet,948.0957316494425,891,57.09573164944254
2020,Naïve Forecast,891.0,483,408.0
2020,Linear Regression,960.4578947368427,483,477.4578947368427
2020,"ARIMA(1,1,1)",907.1890236870436,483,424.1890236870436
2020,Exponential Smoothing,936.761389263108,483,453.76138926310796
2020,Prophet,944.0308267667372,483,461.03082676673716
2021,Naïve Forecast,483.0,612,129.0
2021,Linear Regression,891.9142857142833,612,279.9142857142833
2021,"ARIMA(1,1,1)",496.39419206537036,612,115.60580793462964
2021,Exponential Smoothing,314.9902689338752,612,297.0097310661248
2021,Prophet,891.8667046063327,612,279.86670460633275
2022,Naïve Forecast,612.0,633,21.0
2022,Linear Regression,857.2207792207773,633,224.22077922077733
2022,"ARIMA(1,1,1)",533.0628196580146,633,99.93718034198537
2022,Exponential Smoothing,611.5994246675926,633,21.400575332407357
2022,Prophet,857.2918847222267,633,224.29188472222665
2023,Naïve Forecast,633.0,773,140.0
2023,Linear Regression,831.1067193675917,773,58.10671936759172
2023,"ARIMA(1,1,1)",626.2625713431618,773,146.73742865683823
2023,Exponential Smoothing,634.6051076287813,773,138.3948923712187
2023,Prophet,830.9376699162314,773,57.93766991623136
2024,Naïve Forecast,773.0,750,23.0
2024,Linear Regression,831.8659420289841,750,81.86594202898414
2024,"ARIMA(1,1,1)",714.023355048488,750,35.97664495151196
2024,Exponential Smoothing,756.2945045299177,750,6.294504529917731
2024,Prophet,832.1002699002776,750,82.10026990027757
