Model,RMSE,R2,Adjusted_R2
"ARIMA(1,1,1)",66.06887569406486,0.24183988283480062,
Exponential Smoothing,71.5171910178337,-0.08329116145252113,
Linear Regression,75.16795673053987,-0.03698510415203482,-0.08412079070439993
Naïve Forecast,57.541666666666664,0.39217038785534275,
Prophet,78.13374947652923,-0.18707767031461597,
