Model,MAE,RMSE
"ARIMA(1,1,1)",76.91304347826087,76.91304347826087
Exponential Smoothing,73.17391304347827,73.17391304347827
Linear Regression,86.33333333333333,86.33333333333333
Naïve Forecast,57.375,57.375
Prophet,90.0,90.0
