Year,Model,Predicted,Actual,RMSE
2011,Prophet,379.65782335955845,383,3.3421766404415507
2012,Naïve Forecast,383.0,437,54.0
2012,Linear Regression,412.53030303029664,437,24.469696969703364
2012,"ARIMA(1,1,1)",381.00543048114815,437,55.99456951885185
2012,Exponential Smoothing,412.48431532365566,437,24.515684676344335
2012,Prophet,412.5343396276938,437,24.465660372306218
2013,Naïve Forecast,437.0,440,3.0
2013,Linear Regression,451.8846153846098,440,11.884615384609788
2013,"ARIMA(1,1,1)",438.9827632012694,440,1.0172367987306075
2013,Exponential Smoothing,451.90684896727544,440,11.906848967275437
2013,Prophet,452.1285093720659,440,12.128509372065878
2014,Naïve Forecast,440.0,398,42.0
2014,Linear Regression,481.12087912087736,398,83.12087912087736
2014,"ARIMA(1,1,1)",439.0703638715875,398,41.07036387158752
2014,Exponential Smoothing,481.118756003311,398,83.11875600331098
2014,Prophet,481.20757431761433,398,83.20757431761433
2015,Naïve Forecast,398.0,494,96.0
2015,Linear Regression,491.2476190476227,494,2.7523809523772798
2015,"ARIMA(1,1,1)",396.8165255695015,494,97.1834744304985
2015,Exponential Smoothing,491.2475575886907,494,2.752442411309289
2015,Prophet,491.11371265155896,494,2.8862873484410443
2016,Naïve Forecast,494.0,492,2.0
2016,Linear Regression,522.1499999999942,492,30.14999999999418
2016,"ARIMA(1,1,1)",515.4345845108652,492,23.434584510865193
2016,Exponential Smoothing,522.1484098415109,492,30.148409841510897
2016,Prophet,521.7926521777329,492,29.79265217773286
2017,Naïve Forecast,492.0,422,70.0
2017,Linear Regression,545.3308823529442,422,123.33088235294417
2017,"ARIMA(1,1,1)",511.8130030058762,422,89.81300300587623
2017,Exponential Smoothing,545.3305459839208,422,123.33054598392084
2017,Prophet,545.8539873066285,422,123.85398730662848
2018,Naïve Forecast,422.0,412,10.0
2018,Linear Regression,547.6078431372516,412,135.60784313725162
2018,"ARIMA(1,1,1)",433.72300059233913,412,21.723000592339133
2018,Exponential Smoothing,547.7787119022433,412,135.77871190224334
2018,Prophet,547.2028524222263,412,135.20285242222633
2019,Naïve Forecast,412.0,344,68.0
2019,Linear Regression,546.5789473684272,344,202.57894736842718
2019,"ARIMA(1,1,1)",419.1979308382448,344,75.19793083824482
2019,Exponential Smoothing,461.23950948716725,344,117.23950948716725
2019,Prophet,546.7963365480955,344,202.7963365480955
2020,Naïve Forecast,344.0,220,124.0
2020,Linear Regression,531.4421052631587,220,311.44210526315874
2020,"ARIMA(1,1,1)",341.07742246179987,220,121.07742246179987
2020,Exponential Smoothing,350.4155406314784,220,130.4155406314784
2020,Prophet,531.3850381310492,220,311.3850381310492
2021,Naïve Forecast,220.0,375,155.0
2021,Linear Regression,494.60476190476766,375,119.60476190476766
2021,"ARIMA(1,1,1)",220.8969415070249,375,154.1030584929751
2021,Exponential Smoothing,186.42294651846942,375,188.57705348153058
2021,Prophet,494.5249275430609,375,119.52492754306093
2022,Naïve Forecast,375.0,303,72.0
2022,Linear Regression,491.2987012986996,303,188.2987012986996
2022,"ARIMA(1,1,1)",391.02191490475116,303,88.02191490475116
2022,Exponential Smoothing,269.446151174172,303,33.55384882582803
2022,Prophet,491.0357329229644,303,188.03573292296443
2023,Naïve Forecast,303.0,314,11.0
2023,Linear Regression,475.57312252964766,314,161.57312252964766
2023,"ARIMA(1,1,1)",315.5360283142889,314,1.5360283142888989
2023,Exponential Smoothing,282.84665329491537,314,31.15334670508463
2023,Prophet,475.410026256598,314,161.41002625659797
2024,Naïve Forecast,314.0,347,33.0
2024,Linear Regression,463.61956521739194,347,116.61956521739194
2024,"ARIMA(1,1,1)",312.91282619068784,347,34.08717380931216
2024,Exponential Smoothing,296.09069604454993,347,50.90930395545007
2024,Prophet,463.58010343284343,347,116.58010343284343
