Year,Model,Predicted,Actual,RMSE
2014,Naïve Forecast,335.0,343,8.0
2014,Linear Regression,322.15384615384755,343,20.846153846152447
2014,"ARIMA(1,1,1)",338.30518222831904,343,4.69481777168096
2014,Exponential Smoothing,344.9147609090965,343,1.9147609090965148
2014,Prophet,322.13416683933536,343,20.865833160664636
2015,Naïve Forecast,343.0,293,50.0
2015,Linear Regression,339.4952380952345,293,46.49523809523453
2015,"ARIMA(1,1,1)",339.63626710846,293,46.636267108460004
2015,Exponential Smoothing,352.0659979425809,293,59.06599794258091
2015,Prophet,339.4599015177242,293,46.45990151772418
2016,Naïve Forecast,293.0,292,1.0
2016,Linear Regression,340.1749999999993,292,48.17499999999927
2016,"ARIMA(1,1,1)",303.49559911019963,292,11.495599110199635
2016,Exponential Smoothing,301.5173399431821,292,9.517339943182094
2016,Prophet,340.3608475776531,292,48.36084757765309
2017,Naïve Forecast,292.0,317,25.0
2017,Linear Regression,340.11764705882524,317,23.11764705882524
2017,"ARIMA(1,1,1)",282.31819748200417,317,34.681802517995834
2017,Exponential Smoothing,296.92214997935366,317,20.077850020646338
2017,Prophet,339.9778634545229,317,22.97786345452289
2018,Naïve Forecast,317.0,290,27.0
2018,Linear Regression,345.3137254901958,290,55.31372549019579
2018,"ARIMA(1,1,1)",319.42967222124565,290,29.429672221245653
2018,Exponential Smoothing,321.8404909867935,290,31.840490986793498
2018,Prophet,345.2746955586908,290,55.27469555869078
2019,Naïve Forecast,290.0,296,6.0
2019,Linear Regression,343.5964912280724,296,47.59649122807241
2019,"ARIMA(1,1,1)",292.68763393931056,296,3.312366060689442
2019,Exponential Smoothing,296.16438963979556,296,0.16438963979555865
2019,Prophet,344.31123786745826,296,48.31123786745826
2020,Naïve Forecast,296.0,141,155.0
2020,Linear Regression,343.13157894737014,141,202.13157894737014
2020,"ARIMA(1,1,1)",293.57891457932357,141,152.57891457932357
2020,Exponential Smoothing,300.1002678921038,141,159.10026789210377
2020,Prophet,343.23606722439973,141,202.23606722439973
2021,Naïve Forecast,141.0,154,13.0
2021,Linear Regression,313.00476190476184,154,159.00476190476184
2021,"ARIMA(1,1,1)",172.70097754437796,154,18.700977544377963
2021,Exponential Smoothing,146.63122990330893,154,7.368770096691065
2021,Prophet,312.98186700386066,154,158.98186700386066
2022,Naïve Forecast,154.0,228,74.0
2022,Linear Regression,289.84415584415547,228,61.844155844155466
2022,"ARIMA(1,1,1)",138.84145806623465,228,89.15854193376535
2022,Exponential Smoothing,150.63527134395093,228,77.36472865604907
2022,Prophet,290.44147991911314,228,62.441479919113135
2023,Naïve Forecast,228.0,237,9.0
2023,Linear Regression,282.95256916996004,237,45.95256916996004
2023,"ARIMA(1,1,1)",230.27055489335004,237,6.729445106649962
2023,Exponential Smoothing,220.7704847212503,237,16.229515278749687
2023,Prophet,282.58575176436307,237,45.58575176436307
2024,Naïve Forecast,237.0,248,11.0
2024,Linear Regression,278.485507246377,248,30.485507246376983
2024,"ARIMA(1,1,1)",237.674769169725,248,10.32523083027499
2024,Exponential Smoothing,236.94102002571418,248,11.058979974285819
2024,Prophet,278.4827685320919,248,30.48276853209188
