Model,RMSE,R2,Adjusted_R2
"ARIMA(1,1,1)",32.266843376765,0.44329214654501303,
Exponential Smoothing,36.403852189271404,0.3412105769606095,
Linear Regression,54.33553726338209,-0.21215108263174942,-0.26724885911501084
Naïve Forecast,28.791666666666668,0.5066153608087894,
Prophet,56.504788533223646,-0.2252385955513918,
