Model,MAE,RMSE,R2,Adjusted_R2
"ARIMA(1,1,1)",51.06390848579515,51.06390848579515,0.6202046099085117,
Exponential Smoothing,63.546570021737224,63.546570021737224,0.4038337350103094,
Linear Regression,59.08562733495804,59.08562733495804,0.5835513676259916,0.5646218843362639
Naïve Forecast,42.458333333333336,42.458333333333336,0.7356753722449894,
Prophet,61.68945640228021,61.68945640228021,0.5109999701322229,
