Model,RMSE,R2,Adjusted_R2
"ARIMA(1,1,1)",42.50884911428324,0.5857368414657687,
Exponential Smoothing,53.76063473816193,0.4421691954025281,
Linear Regression,50.02453657491029,0.5009289004023786,0.4782438504206685
Naïve Forecast,38.708333333333336,0.601982377551999,
Prophet,52.249713781166676,0.48594370349773286,
