Model,RMSE,R2,Adjusted_R2
"ARIMA(1,1,1)",57.41191002243411,0.8415753119587327,
Exponential Smoothing,69.76760288860669,0.8002492291951159,
Linear Regression,98.12470400972832,0.7543320779898702,0.743165354262137
Naïve Forecast,53.5,0.861823666893982,
Prophet,102.538039285996,0.7278015286779183,
