Year,Model,Predicted,Actual,RMSE
2022,Exponential Smoothing,237.80723285601925,479,241.19276714398075
2022,Prophet,411.0793680881159,479,67.92063191188407
2023,Naïve Forecast,479.0,438,41.0
2023,Linear Regression,445.371541501976,438,7.371541501976026
2023,"ARIMA(1,1,1)",526.8842428733115,438,88.88424287331145
2023,Exponential Smoothing,499.14013945720035,438,61.14013945720035
2023,Prophet,445.2005404492408,438,7.200540449240805
2024,Naïve Forecast,438.0,402,36.0
2024,Linear Regression,466.3405797101441,402,64.34057971014408
2024,"ARIMA(1,1,1)",407.5394701154411,402,5.539470115441077
2024,Exponential Smoothing,454.3531903985843,402,52.353190398584275
2024,Prophet,466.3649071155058,402,64.36490711550579
