Model,RMSE,R2,Adjusted_R2
"ARIMA(1,1,1)",82.55995832100066,0.18972859589154034,
Exponential Smoothing,85.51565245860773,0.10980664627527492,
Linear Regression,74.45077111496282,0.37630956667795945,0.3479600015269576
Naïve Forecast,69.70833333333333,0.4211335894834265,
Prophet,77.43774181687026,0.2298739526470741,
