Model,RMSE,R2,Adjusted_R2
"ARIMA(1,1,1)",86.95793385701454,0.780633338125473,
Exponential Smoothing,104.55392240675737,0.6409029498666686,
Linear Regression,117.64895510186822,0.5731685112058352,0.5537670798970096
Naïve Forecast,87.54166666666667,0.8034885590050348,
Prophet,122.66721789994077,0.44103376785356774,
