Model,RMSE,R2,Adjusted_R2
"ARIMA(1,1,1)",88.65874504419314,-0.2694858074044051,
Exponential Smoothing,87.68375052483724,-0.14213923274177853,
Linear Regression,89.35962282890256,-0.004437919938885759,-0.05009418902701679
Naïve Forecast,76.75,0.029603543014637523,
Prophet,88.57368973355787,0.012885176269876952,
