Model,RMSE,R2,Adjusted_R2
"ARIMA(1,1,1)",18.751076772359003,0.8229969158735669,
Exponential Smoothing,25.62112220150661,0.7715073333867705,
Linear Regression,30.870392172218544,0.7535233325713045,0.742319847688182
Naïve Forecast,17.625,0.8310106595256135,
Prophet,32.25423712082433,0.7380971005332218,
