Model,RMSE,R2,Adjusted_R2
"ARIMA(1,1,1)",2.679165463041295,0.759482792402552,
Exponential Smoothing,5.04013627283119,0.531204904474609,
Linear Regression,7.212340799297323,0.28690146215708034,0.25448789225512947
Naïve Forecast,2.5,0.7616698055940355,
Prophet,7.526462954235813,0.2805569971432198,
