Model,RMSE,R2,Adjusted_R2
"ARIMA(1,1,1)",20.763554602819898,0.4209681839271875,
Exponential Smoothing,26.77964023818576,0.2758839081888911,
Linear Regression,28.881271958717623,0.23694263629650636,0.20225821067362026
Naïve Forecast,19.041666666666668,0.43205687921378066,
Prophet,30.132088859253532,0.23070245924249277,
